experiment_id,host_model,payload_family,technique_label,binary_id,model_binary_id,experiment_status,controlled_clean_snapshots_released,injection_labelled_snapshots_released,release_note
eval-001,windows10,NimPlant,early_bird_apc,notepad_x64,notepad_x64,released_quantitative_pair,46,46,Matched side-by-side telemetry with frozen matching-host AE scores.
eval-002,windows10,NimPlant,process_hollowing,mspaint_x64,mspaint_x64,released_quantitative_pair,16,19,Matched side-by-side telemetry with frozen matching-host AE scores.
eval-003,windows10,NimPlant,remote_thread,charmap_x64,charmap_x64,released_quantitative_pair,18,20,Matched side-by-side telemetry with frozen matching-host AE scores.
eval-004,windows10,Cobalt Strike,early_bird_apc,cliconfg_x64,cliconfg_x64,released_quantitative_pair,30,30,Matched side-by-side telemetry with frozen matching-host AE scores.
eval-005,windows10,Cobalt Strike,process_hollowing,cleanmgr_x64,cleanmgr_x64,released_quantitative_pair,25,25,Matched side-by-side telemetry with frozen matching-host AE scores.
eval-006,windows10,Cobalt Strike,remote_thread,control_x64,control_x64,released_quantitative_pair,29,29,Matched side-by-side telemetry with frozen matching-host AE scores.
eval-007,windows10,Cobalt Strike,queue_apc,dialer_x64,dialer_x64,released_quantitative_pair,31,30,Matched side-by-side telemetry with frozen matching-host AE scores.
eval-008,windows10,Cobalt Strike,thread_hijack,notepad_x64,notepad_x64,released_quantitative_pair,31,30,Matched side-by-side telemetry with frozen matching-host AE scores.
eval-009,windows10,Cobalt Strike,rtl_create_user_thread,charmap_x64,charmap_x64,released_quantitative_pair,30,29,Matched side-by-side telemetry with frozen matching-host AE scores.
eval-010,windows10,Cobalt Strike,module_stomp,mspaint_x64,mspaint_x64,released_quantitative_pair,27,27,Matched side-by-side telemetry with frozen matching-host AE scores.
eval-011,windows10,Cobalt Strike,reflective_dll,pkgmgr_x64,pkgmgr_x64,released_quantitative_pair,31,30,Matched side-by-side telemetry with frozen matching-host AE scores.
eval-012,windows10,Cobalt Strike,nt_create_thread_ex,cloudexperiencehostbroker_x64,cloudexperiencehostbroker_x64,released_quantitative_pair,31,30,Matched side-by-side telemetry with frozen matching-host AE scores.
eval-013,windows10,AsyncRAT,early_bird_apc,charmap_x86,,released_structural_only_pair,46,46,Matched side-by-side telemetry retained without AE scores because this binary was not enrolled in the matching host model.
