field,role,type,unit_or_range,transform,definition
elapsed_since_start_ms,core_runtime_feature,number,milliseconds,log1p_then_robust_scale,Monotonic time from observed process start
elapsed_since_start_ms__missing,missingness_indicator,integer,0 or 1,none,1 when elapsed_since_start_ms was unavailable; 0 otherwise.
working_set_bytes,core_runtime_feature,integer,bytes,log1p_then_robust_scale,Resident working set
working_set_bytes__missing,missingness_indicator,integer,0 or 1,none,1 when working_set_bytes was unavailable; 0 otherwise.
private_bytes,core_runtime_feature,integer,bytes,log1p_then_robust_scale,Process-private committed bytes
private_bytes__missing,missingness_indicator,integer,0 or 1,none,1 when private_bytes was unavailable; 0 otherwise.
virtual_size_bytes,core_runtime_feature,integer,bytes,log1p_then_robust_scale,Reserved plus committed virtual address space
virtual_size_bytes__missing,missingness_indicator,integer,0 or 1,none,1 when virtual_size_bytes was unavailable; 0 otherwise.
pagefile_bytes,core_runtime_feature,integer,bytes,log1p_then_robust_scale,Process page-file-backed commitment
pagefile_bytes__missing,missingness_indicator,integer,0 or 1,none,1 when pagefile_bytes was unavailable; 0 otherwise.
peak_working_set_bytes,core_runtime_feature,integer,bytes,log1p_then_robust_scale,Peak resident working set observed by the OS
peak_working_set_bytes__missing,missingness_indicator,integer,0 or 1,none,1 when peak_working_set_bytes was unavailable; 0 otherwise.
handle_count,core_runtime_feature,integer,"{""minimum"":0}",log1p_then_robust_scale,Open process handle count
handle_count__missing,missingness_indicator,integer,0 or 1,none,1 when handle_count was unavailable; 0 otherwise.
thread_count,core_runtime_feature,integer,"{""minimum"":0}",log1p_then_robust_scale,Live thread count
thread_count__missing,missingness_indicator,integer,0 or 1,none,1 when thread_count was unavailable; 0 otherwise.
thread_count_delta,core_runtime_feature,integer,{},signed_log1p_absolute_then_robust_scale,Change since the prior valid snapshot in the same run
thread_count_delta__missing,missingness_indicator,integer,0 or 1,none,1 when thread_count_delta was unavailable; 0 otherwise.
cpu_user_delta_ms,core_runtime_feature,number,milliseconds,adjacent_delta_then_log1p_then_robust_scale,User CPU time added since prior valid snapshot
cpu_user_delta_ms__missing,missingness_indicator,integer,0 or 1,none,1 when cpu_user_delta_ms was unavailable; 0 otherwise.
cpu_kernel_delta_ms,core_runtime_feature,number,milliseconds,adjacent_delta_then_log1p_then_robust_scale,Kernel CPU time added since prior valid snapshot
cpu_kernel_delta_ms__missing,missingness_indicator,integer,0 or 1,none,1 when cpu_kernel_delta_ms was unavailable; 0 otherwise.
io_read_delta_bytes,core_runtime_feature,integer,bytes,adjacent_delta_then_log1p_then_robust_scale,Read bytes added since prior valid snapshot
io_read_delta_bytes__missing,missingness_indicator,integer,0 or 1,none,1 when io_read_delta_bytes was unavailable; 0 otherwise.
io_write_delta_bytes,core_runtime_feature,integer,bytes,adjacent_delta_then_log1p_then_robust_scale,Written bytes added since prior valid snapshot
io_write_delta_bytes__missing,missingness_indicator,integer,0 or 1,none,1 when io_write_delta_bytes was unavailable; 0 otherwise.
io_other_delta_bytes,core_runtime_feature,integer,bytes,adjacent_delta_then_log1p_then_robust_scale,Non-read/write I/O bytes added since prior valid snapshot
io_other_delta_bytes__missing,missingness_indicator,integer,0 or 1,none,1 when io_other_delta_bytes was unavailable; 0 otherwise.
mapped_region_count,core_runtime_feature,integer,"{""minimum"":0}",log1p_then_robust_scale,Count of queryable virtual-memory regions
mapped_region_count__missing,missingness_indicator,integer,0 or 1,none,1 when mapped_region_count was unavailable; 0 otherwise.
committed_region_count,core_runtime_feature,integer,"{""minimum"":0}",log1p_then_robust_scale,Count of committed virtual-memory regions
committed_region_count__missing,missingness_indicator,integer,0 or 1,none,1 when committed_region_count was unavailable; 0 otherwise.
executable_region_count,core_runtime_feature,integer,"{""minimum"":0}",log1p_then_robust_scale,Count of committed regions with executable protection
executable_region_count__missing,missingness_indicator,integer,0 or 1,none,1 when executable_region_count was unavailable; 0 otherwise.
